Investigador,Nombre del producto,Tipo,Autores,Lugar,Libro,Editorial,ISBN,Año,Volumen,Páginas,Palabras,Área,Sectores
Prueba UNIMINUTO,Sobre el enseñar y aprender filosofía,Capítulo de libro,"OSCAR ORLANDO ESPINEL BERNAL, PRUEBA UNIMINUTO, OSCAR PULIDO CORTES",Colombia,Educación y pensamiento contemporáneo, Corporación Universitaria Minuto de Dios,978-958-763-435-8,2020,.,257- 282,"Vida ejercitante,","Humanidades -- Otras Humanidades -- Filosofía,","Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial,"
Prueba Monitores,Danza Movimiento Terapia como recurso para el fortalecimiento del desempeño ocupacional en pacientes con enfermedad de Parkinson vinculados a un proceso terapéutico,Capítulo de libro,PRUEBA MONITORES,Colombia,FUNDAMENTOS DE PEDIATRÍA, Centro Editorial Universidad Del Valle,978-958-8404-07-3,2017,.,2- 3,,,
Prueba Monitores,La estandarización organizacional. Un transito del axioma al mito de la idea de progreso: la codiciada declaración de calidad,Capítulo de libro,PRUEBA MONITORES,Colombia,"Gestion, Subjetividad y Critica: Nuevos territorios para leer la organización", Centro Editorial Universidad Del Valle,978-958-765-190-4,2016,.,69- 86,,,
