Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,ISBN,Año,Volumen,Páginas,Palabras,Área
Prueba UNIMINUTO,Internacionalización del currículo,Libro resultado de investigación,"PRUEBA UNIMINUTO, ALBA YOLANDA CASTILLO SANABRIA, ALIRIO RAIGOZO CAMELO",Colombia,Corporación Universitaria Minuto de Dios,978-958-763-451-8,2021,,pags.,,"Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía),"
Prueba Monitores,Estrategias complementarias de trabajo en el aula en promoción de la Salud y prevención del consumo de Sustancias Psicoactivas,Libro resultado de investigación,PRUEBA MONITORES,Colombia,Programa Editorial Universidad Del Valle,978-958-8404-07-3,2010,,pags.,,
Prueba Monitores,"INGENIERÍA INDUSTRIAL: MÉTODOS, ESTÁNDARES Y DISEÑO DEL TRABAJO",Libro resultado de investigación,PRUEBA MONITORES,Colombia,Alfaomega Grupo Editor,9789701509937,2008,,pags.,,
Prueba Monitores,"INGENIERIA INDUSTRIAL: METODOS, ESTANDARES Y DISEÑO DEL TRABAJO",Libro resultado de investigación,PRUEBA MONITORES,Colombia,Alfaomega Grupo Editor,9789701509937,2008,,pags.,,
Prueba Monitores,"Metodos, Estandares y Diseño del Trabajo",Libro resultado de investigación,PRUEBA MONITORES,Colombia,Alfaomega Grupo Editor,9789701509937,2008,,pags.,,
Prueba Monitores,"Metodos, estandares y diseño del trabajo",Libro resultado de investigación,PRUEBA MONITORES,Colombia,Alfaomega Grupo Editor,9789701509937,2008,,pags.,,
